group,n,true_noise,mean_1mp,p90_1mp,mean_ent,C_full,C_proj,out_mass,Cproj_kappa
Allegro > Automotive > Tires and Rims > Tires,5653,0.3069166814081019,0.2127782106399536,0.8755127191543579,0.594426691532135,0.019861749113276934,0.002674249554077657,0.034058036686951176,0.0014307652920274166
"Allegro > Electronics > Audio, Video and Household Appliances > Small Household Appliances",5583,0.4245029554003224,0.5927444696426392,0.9979034662246704,3.1153206825256348,0.2940309723316501,0.061086211723273096,0.41998925941212095,0.03283339460052544
Allegro > Automotive > Car Parts > Engines and Components,5360,0.015485074626865672,0.35157859325408936,0.9783660769462585,1.3004835844039917,0.1152992929565553,0.013026636691885227,0.19277468095742056,0.005950064551371781
Allegro > Kids > Toys > Building Toys,5107,0.6432347757979244,0.6057655811309814,0.9954422116279602,2.555553436279297,0.14043531755267435,0.013477434735632371,0.235142670978836,0.007019164616557568
Allegro > Culture and Entertainment > Books and Comics > Science and Popular Science,5026,0.12004778021102927,0.8490381240844727,0.998631477355957,3.095705986022949,0.4844224512456861,0.02137636593786736,0.6814653630328757,0.010234550686218907
Allegro > Electronics > Computers > Printers and Scanners,4815,0.08598130841121496,0.20191504061222076,0.9480956792831421,0.7323737144470215,0.07162395093263008,0.027670932182386254,0.08832542059453707,0.017849421079775416
Allegro > Culture and Entertainment > Books and Comics > Elementary and High School Textbooks,4801,0.6304936471568423,0.3694700002670288,0.991363525390625,1.463248610496521,0.17622169991805905,0.03205827195743466,0.2694354128326085,0.030087813596143723
Allegro > Home and Garden > Equipment > Kitchen Utensils,4791,0.08996034230849509,0.678546667098999,0.9985752105712891,3.682321071624756,0.369462993998391,0.05842823405563644,0.5273517807897012,0.02910477157769235
Allegro > Business and Services > Industry > Materials and accessories,4696,0.37883304940374785,0.629157304763794,0.9991805553436279,3.2775425910949707,0.4324162094329448,0.119536358150782,0.5625345109243206,0.07983766535395155
Allegro > Culture and Entertainment > Books and Comics > Fiction,4667,0.17548746518105848,0.8195462226867676,0.9969784021377563,2.8284075260162354,0.49629417660181735,0.02474311882882904,0.6914629190106553,0.016890616725497774
Allegro > Home and Garden > Furniture > Bedroom,4395,0.018430034129692834,0.11556020379066467,0.49003905057907104,0.467143714427948,0.0666830333674164,0.011721424613822244,0.10717228435412207,0.010400725101751485
Allegro > Fashion > Jewelry and Watches > Women's Jewelry,4316,0.031278962001853566,0.11637187004089355,0.35546875,0.5504639148712158,0.044880915378492627,0.002621168108748899,0.08226140672073412,0.001625663858426863
Allegro > Automotive > Car Equipment and Accessories > Mats,4226,0.002129673450070989,0.05175165459513664,0.0205078125,0.2010979801416397,0.020207820042127435,0.0005171359179724784,0.03886791884588847,0.0005171359179464655
Allegro > Electronics > Computers > Laptop Parts,3984,0.007530120481927711,0.15431171655654907,0.81951904296875,0.7303734421730042,0.0753760132752006,0.0126832122492424,0.12162950486842405,0.008645310300368076
Allegro > Automotive > Motorcycle Parts and Equipment > Motorcycle parts,3909,0.027116909695574315,0.503320574760437,0.9967319369316101,2.3918092250823975,0.22325335083625844,0.034205450487205115,0.34251317698255956,0.01489701479039357
Allegro > Culture and Entertainment > Books and Comics > Self-help Books and Albums,3853,0.23929405657928887,0.8534517288208008,0.9986890554428101,3.2196309566497803,0.530362424545031,0.03210634835205835,0.7215445021081831,0.022805874692999505
Allegro > Home and Garden > Lighting > Lamps,3441,0.14617843650101714,0.35864925384521484,0.964874267578125,1.3061131238937378,0.11368883153004652,0.009682958108801123,0.1950960353133776,0.005388073458289648
Allegro > Automotive > Car Parts > Drive system,3299,0.023340406183692028,0.27503693103790283,0.9880401492118835,1.0513393878936768,0.10937918478089768,0.022275600413099637,0.16812103798838218,0.012245186836740123
Allegro > Home and Garden > Construction Work and Equipment > Electrical Equipment and Accessories,3277,0.11138236191638694,0.5072730183601379,0.9951721429824829,2.7029242515563965,0.260656582337886,0.040516172728806185,0.3926411976820091,0.02269853544692782
Allegro > Automotive > Car Parts > Engine cooling system,3260,0.005214723926380368,0.21698814630508423,0.946850597858429,0.7709034085273743,0.09256800372160642,0.014132441680525165,0.1506502286056799,0.007928679912224708
Allegro > Home and Garden > Tools > Accessories and Equipment,3256,0.17229729729729729,0.5577942132949829,0.9947147369384766,2.6959927082061768,0.3106142244693278,0.058907538335759235,0.4468193425629883,0.04236469919911235
Allegro > Culture and Entertainment > Music > CDs,3179,0.007549543881723813,0.7841148972511292,0.9953544735908508,2.561147451400757,0.11851787988952978,0.004501585690099374,0.21113908737101017,0.0030812784365643994
Allegro > Kids > Toys > Educational,3132,0.05842911877394636,0.8352309465408325,0.998936653137207,3.882857322692871,0.47969843021000474,0.019737125204129468,0.6781276951652224,0.012716026107240581
Allegro > Home and Garden > Furniture > Living Room,3079,0.06722962000649561,0.3261013329029083,0.9275878667831421,1.4130758047103882,0.1574796877104192,0.013916998170157971,0.26313251551191064,0.007136634836280994
Allegro > Home and Garden > Equipment > Window Decor,3020,0.10993377483443709,0.210288867354393,0.9530242681503296,0.9051355123519897,0.089281357095763,0.02662690714634052,0.12380465121063966,0.01597944064769804
Allegro > Automotive > Car Parts > Interior equipment,3019,0.008943358728055647,0.44174355268478394,0.9942077398300171,1.971487045288086,0.23102183526814613,0.0271928501756553,0.36233547082125805,0.018173316822792666
"Allegro > Fashion > Clothing, Shoes, Accessories > Women's Underwear",3018,0.022200132538104704,0.2852189838886261,0.9725692868232727,1.0758271217346191,0.12723975427487716,0.024132663749095198,0.19700597168358058,0.013440064394017529
Allegro > Automotive > Car Parts > Lighting,2832,0.020480225988700564,0.22820015251636505,0.9698745608329773,0.9419314861297607,0.0981736982039842,0.019000300343756223,0.1529334003558266,0.011806509255093222
Allegro > Supermarket > Pet Supplies > Dogs,2790,0.11935483870967742,0.49645769596099854,0.9922588467597961,2.5590732097625732,0.2305149545835084,0.03363563927086756,0.35439280985076793,0.014596718694638794
